epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1376.02,1.46247,0.98841,1.44594,0.69471,0.53225,0.56358,0.27881,1.79425,1.14098,1.81346,0.000396265,0.000396265,0.000396265
43,1406.31,1.47735,0.98445,1.44661,0.59691,0.58552,0.58958,0.28184,1.77126,1.08014,1.81006,0.000389661,0.000389661,0.000389661
44,1436.4,1.48197,1.00294,1.45659,0.50948,0.54876,0.55618,0.27784,1.78631,1.08824,1.81334,0.000383058,0.000383058,0.000383058
45,1466.85,1.44187,0.96557,1.4249,0.59981,0.55969,0.5884,0.2842,1.79226,1.08979,1.83451,0.000376455,0.000376455,0.000376455
46,1497.42,1.46424,0.99087,1.45557,0.78596,0.47019,0.54006,0.26408,1.81281,1.12834,1.84789,0.000369851,0.000369851,0.000369851
47,1528.14,1.45243,0.96954,1.43067,0.58696,0.56076,0.57772,0.27978,1.764,1.08743,1.79572,0.000363248,0.000363248,0.000363248
48,1560.33,1.4315,0.94138,1.40943,0.50731,0.5491,0.53773,0.2648,1.81949,1.10479,1.8294,0.000356645,0.000356645,0.000356645
49,1591.65,1.44444,0.95073,1.43116,0.55897,0.58171,0.5883,0.28981,1.78279,1.10277,1.80709,0.000350042,0.000350042,0.000350042
50,1622.91,1.42325,0.94562,1.42002,0.74654,0.50482,0.54336,0.27101,1.80519,1.1088,1.82945,0.000343438,0.000343438,0.000343438
51,1654.05,1.42237,0.93556,1.41613,0.58062,0.54737,0.57449,0.28421,1.80416,1.08638,1.81107,0.000336835,0.000336835,0.000336835
52,1685.26,1.42882,0.9391,1.4234,0.64039,0.5237,0.56343,0.27316,1.80804,1.09155,1.81611,0.000330232,0.000330232,0.000330232
53,1716.31,1.42062,0.93342,1.41105,0.52007,0.55648,0.56761,0.28378,1.7799,1.07512,1.80243,0.000323628,0.000323628,0.000323628
54,1747.6,1.41395,0.92793,1.41695,0.54324,0.53149,0.56517,0.27641,1.80035,1.07942,1.81303,0.000317025,0.000317025,0.000317025
55,1778.86,1.40903,0.91155,1.4017,0.64963,0.56637,0.57296,0.28132,1.78219,1.06995,1.81229,0.000310422,0.000310422,0.000310422
56,1810.39,1.3982,0.9022,1.39989,0.59784,0.60508,0.58412,0.28804,1.78555,1.07488,1.81431,0.000303818,0.000303818,0.000303818
57,1841.51,1.39531,0.89075,1.39788,0.61015,0.57819,0.58014,0.28136,1.81058,1.06798,1.83324,0.000297215,0.000297215,0.000297215
58,1872.8,1.40424,0.8979,1.39311,0.709,0.51648,0.57369,0.28273,1.78336,1.07203,1.8185,0.000290612,0.000290612,0.000290612
59,1904.05,1.39755,0.89897,1.393,0.6134,0.57364,0.57646,0.28464,1.77914,1.05772,1.80012,0.000284009,0.000284009,0.000284009
60,1935.01,1.38053,0.88561,1.39038,0.69908,0.52789,0.58057,0.28755,1.78941,1.0885,1.83276,0.000277405,0.000277405,0.000277405
61,1966.41,1.35086,0.8618,1.38332,0.64189,0.55824,0.58266,0.28029,1.82945,1.08551,1.87399,0.000270802,0.000270802,0.000270802
